subject, acsal, fem, unemp, nonac, nonacsal, licensed
Dentistry, 44214, 15.7, 0.1, 99.4, 40005, licensed
Medicine, 43160, 25.5, 0.2, 96.0, 50005, licensed
Law, 40670, 34.0, 0.5, 99.3, 30518, licensed
Agriculture, 36879, 12.9, 0.8, 43.4, 31063, not
Engineering, 35694, 4.6, 0.5, 65.5, 35133, not
Geology, 33206, 13.5, 0.3, 58.1, 33602, not
Chemistry, 33069, 16.2, 1.1, 61.9, 32489, not
Physics, 32925, 7.2, 1.2, 40.7, 33434, not
LifeSciences, 32605, 29.8, 1.4, 27.4, 30500, not
Economics, 32179, 14.8, 0.3, 34.2, 37052, not
Philosophy, 31430, 23.1, 1.8, 17.1, 18500, not
History, 31276, 30.5, 1.5, 20.5, 21113, not
Business, 30753, 27.1, 1.9, 98.9, 20244, not
Architecture, 30337, 31.6, 1.1, 98.3, 21758, not
Psychology, 29894, 45.5, 1.1, 51.0, 30807, not
EducPsych, 29675, 49.5, 0.9, 82.5, 20195, not
SocialWork, 29208, 80.0, 1.9, 98.6, 16965, licensed
Mathematics, 29128, 15.4, 0.4, 17.9, 32537, not
Education, 28952, 48.1, 0.7, 97.1, 19465, not
SocAnthro, 27633, 40.9, 2.1, 12.8, 21600, not
Art, 27198, 57.6, 2.1, 96.6, 11586, not
Music, 26548, 45.5, 4.3, 98.5, 16193, not
Journalism, 25950, 52.3, 3.1, 93.4, 20135, not
English, 25892, 53.6, 1.9, 12.1, 18000, not
ForeignLang, 25566, 55.0, 3.5, 12.1, 20352, not
Nursing, 24924, 94.2, 1.4, 96.2, 17505, licensed
Drama, 24865, 58.5, 5.5, 97.1, 20005, not
LibraryScience, 23658, 82.2, 1.1, 78.9, 15980, not
