Obs	Fat	Weight	Height	BMI	Age	Neck	Chest	Calf	Biceps	Hips	Waist	Forearm	PThigh	MThigh	DThigh	Wrist	Knee	Elbow	Ankle
1	23.07	49.4424	1.61290	19.006	22	28.8	76.1	32.4	25.0	90.2	62.8	21.0	52.5	49.2	37.0	15.0	33.0	22.0	19.7
2	29.50	60.7824	1.57480	24.509	22	31.2	87.3	33.2	26.8	94.0	68.0	23.2	58.5	50.0	39.0	15.8	34.6	23.0	22.0
3	26.99	63.0504	1.61798	24.085	21	30.8	83.7	32.5	27.8	94.0	71.0	21.8	55.5	51.0	38.0	14.4	35.0	24.3	20.1
4	20.25	53.0712	1.68148	18.771	20	30.0	78.0	34.2	23.8	90.5	63.5	21.5	52.5	48.0	37.0	14.5	35.0	22.6	20.0
5	19.95	59.4216	1.73228	19.802	20	32.5	84.2	35.2	24.2	93.2	65.0	21.0	55.5	50.0	39.5	14.8	33.0	24.4	21.0
6	26.02	68.0400	1.61290	26.155	24	34.0	97.0	37.5	29.8	105.0	76.8	25.0	62.0	54.5	43.0	17.4	39.0	25.4	22.5
7	27.57	76.2048	1.78308	23.969	21	34.0	100.0	39.0	28.0	101.0	81.0	25.3	62.5	56.0	43.5	17.0	39.0	25.5	22.8
8	18.36	56.2464	1.71450	19.135	21	32.5	81.0	35.5	23.0	90.0	65.0	22.0	56.5	49.0	37.0	15.0	33.5	22.5	21.5
9	15.04	54.8856	1.66878	19.709	20	30.3	82.5	36.0	24.0	89.2	67.2	21.0	55.5	49.5	37.5	15.4	35.5	23.0	21.0
10	26.46	73.0296	1.68910	25.597	19	34.0	94.5	36.0	28.5	106.0	80.0	24.0	67.0	61.0	42.0	16.5	39.5	26.8	21.0
11	22.33	71.6688	1.73990	23.675	20	34.0	92.0	39.5	28.5	103.0	74.0	24.5	62.4	58.5	43.0	17.0	37.5	25.5	22.5
12	8.56	44.4528	1.60528	17.250	20	29.7	77.5	30.0	20.5	82.5	63.5	20.0	49.0	45.5	33.0	14.8	33.0	21.5	19.0
13	20.75	67.5864	1.79070	21.077	24	33.0	90.8	35.0	26.5	100.4	70.0	23.5	57.5	45.2	47.0	15.5	37.5	24.0	21.0
14	14.93	53.9784	1.60020	21.080	18	30.5	86.0	34.0	24.5	92.3	66.4	21.6	58.0	48.5	36.5	15.6	35.0	22.5	20.0
15	17.57	51.7104	1.63830	19.266	19	30.5	81.2	34.5	23.5	89.1	64.5	21.0	54.8	50.6	36.0	14.5	34.5	23.0	21.0
16	20.30	52.6176	1.60020	20.549	21	30.6	84.5	32.6	26.5	94.0	66.0	22.5	54.0	47.0	37.0	14.5	32.6	22.5	21.0
17	19.40	61.6896	1.62560	23.345	19	33.0	89.5	36.5	28.0	95.5	72.0	25.0	57.0	52.5	43.0	16.5	37.0	25.0	22.0
