age	bidders	price	foo
127	13	1235	1651
115	12	1080	1380
127	7	845	889
150	9	1522	1350
156	6	1047	936
182	11	1979	2002
156	12	1822	1872
132	10	1253	1320
137	9	1297	1233
113	9	946	1017
137	15	1713	2055
117	11	1024	1287
137	8	1147	1096
153	6	1092	918
117	13	1152	1521
126	10	1336	1260
170	14	1131	2380
182	8	1550	1456
162	11	1884	1782
184	10	2041	1840
143	6	845	858
159	9	1483	1431
108	14	1055	1512
175	8	1545	1400
108	6	729	648
179	9	1792	1611
111	15	1175	1665
187	8	1593	1496
111	7	785	777
115	7	744	805
194	5	1356	970
168	7	1262	1176
